Category,Number,Term ,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
Molecular Function,GO:0004556,alpha-amylase activity,5,0.334896182,9.13E-05,"AMY2A, AMY1A, AMY2B, AMY1B, AMY1C",1207,5,18178,15.06048053,0.113884304,0.060496775,0.060314143
Biological Process,GO:0045429,positive regulation of nitric oxide biosynthetic process,12,0.803750837,9.67E-05,"EDN1, SMAD3, INSR, NOS1AP, PTX3, TLR6, KLF4, TICAM1, TLR5, PTGS2, TNF, KLF2",1193,45,18585,4.154233026,0.366581526,0.07522493,0.074937994
Biological Process,GO:0071260,cellular response to mechanical stimulus,16,1.071667783,1.12E-04,"TNFSF14, GADD45A, PTGS2, FGF2, BMP6, AQP1, MAG, IRF1, CASP1, FAS, FADD, SOX9, CARD16, TLR5, KCNJ2, TLR3",1193,78,18585,3.195563866,0.409458568,0.07522493,0.074937994
Cellular Component,GO:0002102,podosome,10,0.669792364,1.18E-04,"SVIL, SH3PXD2A, WDR1, NOS1AP, RHOU, ADAM8, PTPN12, TNS3, ARHGEF5, FERMT3",1242,32,19595,4.930303945,0.082554333,0.017231366,0.017018633
Biological Process,GO:0035556,intracellular signal transduction,51,3.415941058,1.46E-04,"CXCL8, MAST4, MAST3, PLEK, HSPB1, CXCL1, ADRA1B, RPS6KA4, PREX2, RASSF5, CCN2, RGS9, TNS3, GUCY1A2, DAPK1, HUNK, TYK2, PASK, GMIP, RP1, MAK, SIK1, PRKCQ, TNIK, SIK2, SGK1, ARHGEF5, DGKI, DGKH, CCDC68, PKN3, ADCY3, NOD2, RELA, SOCS1, NUAK2, IRAK1, IRAK2, CHN2, STK38L, PAK3, PAK2, MAP3K3, DMRT1, ARHGAP29, NFATC1, CORO2A, ADCY10, CAMK4, PLCD3, CAPS",1193,456,18585,1.742318128,0.498228729,0.086176804,0.085848094
Cellular Component,GO:0016324,apical plasma membrane,46,3.081044876,1.59E-04,"SLC22A4, SLC26A2, PTEN, TCIRG1, SLC5A1, PLD1, CLDN1, SLC5A3, AQP1, GJA1, P2RY6, P2RY4, CDH2, NPC1L1, P2RY1, PROM1, TRPM6, CD34, SLC39A4, SLC34A2, ANXA1, CAV1, SLC6A14, AKR1A1, ARHGEF18, CYBRD1, RAB27A, MSN, SORBS2, EMP2, RAB27B, SHROOM1, OSMR, KISS1, ADCY10, ANO1, DLG1, CEACAM6, FAT1, MAL, TNIK, SLC26A4, SLC28A1, MUC20, CD44, CRB3",1242,403,19595,1.800845511,0.10937105,0.01930303,0.019064721
Biological Process,GO:0009615,response to virus,19,1.272605492,2.12E-04,"IFNAR2, BATF3, CHUK, IFNGR1, IFI44, HSPB1, MST1R, NMI, IFIT1, GTF2F1, TNF, IFIT3, IFIT2, ACTA2, OAS3, IRF7, IKBKG, ITGB6, YJU2B",1193,110,18585,2.690810028,0.632405102,0.109980247,0.109560742
Biological Process,GO:0006955,immune response,52,3.482920295,2.33E-04,"CXCL6, CIITA, CXCL8, DEFB1, IL1RAP, CXCL14, TNF, CXCL2, IFI44L, ENDOU, IGLV7-46, TNFSF10, IKBKG, ITGB6, PAMR1, IKBKE, CTSC, HLA-DPA1, IL4R, CHUK, IL15, IL18, TYK2, TNFRSF1B, TLR1, IL1A, PXDN, TLR6, SEMA3C, PTAFR, CD1D, THBS1, C3, CCL2, MBP, GBP2, HLA-DQA1, MICB, CD74, CCL24, SMAD3, TNFSF14, IL10RB, CCL20, LIF, IFI44, SMAD6, BMP6, HLA-DRA, FAS, CD22, HLA-DRB1",1193,477,18585,1.698271363,0.667183416,0.109980247,0.109560742
Biological Process,GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,10,0.669792364,2.75E-04,"MAP3K3, FGFBP1, SRPX2, ANXA1, PLK2, MIR27B, KDR, PTGS2, HDAC9, FGF2",1193,35,18585,4.450963956,0.726987498,0.117980377,0.117530357
Molecular Function,GO:0042802,identical protein binding,150,10.04688547,2.91E-04,"SLC27A1, OLFML2B, PRAG1, FMR1, PRDM6, AQP4, DEFB1, ACCS, CLDN1, FGF2, TNF, IFIT3, AQP1, AMOT, CDH2, DPYSL2, RASSF5, DPYSL3, TNFSF10, KDR, SLC16A7, HOMER3, SLC39A4, TP63, MAP3K5, GBP5, S100A2, DAPK1, C10ORF55, BHLHA15, EMSY, FOXP1, DDX39A, ZNF837, PSME2, CARD16, SPATA18, IL6ST, ANKRD36B, OPTN, ATF3, DGKH, SLBP, CFH, SDC2, MRI1, APCDD1, IRAK1, IRAK2, PLXNA2, SFN, FADD, SRGAP2, TNFSF18, STIL, GSTM1, SMAD3, TNFSF14, INSR, CAV1, CYBRD1, NMI, LOC102724560, SMAD6, POU2F3, EHD2, UCK2, COL1A2, LOC102723996, GIPC2, ALB, NAPEPLD, MAP3K13, MRAP2, MUC20, TP73, ALK, PCSK1, NRP2, SERPINA1, SCHIP1, PTEN, FHL2, TNFAIP3, HSPB1, LITAF, VSIR, ARHGAP4, CLDN22, CHAF1A, CASP1, ACP3, IKBKG, CTSE, IKBKE, CTSC, CEP55, GRAMD2B, RIPK3, DHPS, LRRC41, TLR1, DNM3, ANO1, CEACAM6, DMC1, VWA2, MCM6, TLR6, CLDN16, CRYAB, BIRC2, TLR3, GAS7, CEBPD, ATL3, UHRF1, PON2, NT5C2, THBS1, RELA, EGFR, CENPC, NT5E, SRPX2, KCTD21, RBBP8, AGR2, HAS2, SLIT2, GBP2, PAK2, GBP4, KCNJ2, GBP3, CD74, WTAP, DMRT1, CRYBB2, SORBS2, MCOLN1, PC, PSMC3, STING1, TEF, TRIP10, LNX1, FAS, PTX3, VIM",1207,1713,18178,1.318781132,0.319631992,0.099808724,0.099507414
Molecular Function,GO:0008201,heparin binding,26,1.741460147,3.01E-04,"FBLN7, ALK, CXCL6, NRP2, LXN, CXCL8, CFH, SERPINE2, LAMC2, LTBP2, PRELP, PTN, FGF2, THBS1, FSTL1, EVA1C, LIPH, SLIT2, CCN2, RSPO1, CCN1, FGFBP3, FGFBP1, SELL, HDGF, FGF12",1207,178,18178,2.199845471,0.329005071,0.099808724,0.099507414
