"","ENSEMBL","ENTREZID","SYMBOL","TXCHROM"
"104","ENSG00000005486","57414","RHBDD2","chr7"
"105","ENSG00000005513","30812","SOX8","chr16"
"106","ENSG00000005700","25998","IBTK","chr6"
"107","ENSG00000005801","7748","ZNF195","chr11"
"108","ENSG00000005810","23077","MYCBP2","chr13"
"109","ENSG00000005812","26224","FBXL3","chr13"
"110","ENSG00000005844","3683","ITGAL","chr16"
"111","ENSG00000005882","5164","PDK2","chr17"
"112","ENSG00000005884","3675","ITGA3","chr17"
"113","ENSG00000005889","7543","ZFX","chrX"
"114","ENSG00000005893","3920","LAMP2","chrX"
"115","ENSG00000005961","3674","ITGA2B","chr17"
"116","ENSG00000005981","51666","ASB4","chr7"
"117","ENSG00000006007","51573","GDE1","chr16"
"118","ENSG00000006015","55049","REX1BD","chr19"
"119","ENSG00000006016","9244","CRLF1","chr19"
"120","ENSG00000006025","114881","OSBPL7","chr17"
"121","ENSG00000006042","26022","TMEM98","chr17"
"122","ENSG00000006047","51087","YBX2","chr17"
"123","ENSG00000006059","3883","KRT33A","chr17"
"124","ENSG00000006062","9020","MAP3K14","chr17"
"125","ENSG00000006071","6833","ABCC8","chr11"
"126","ENSG00000006116","10368","CACNG3","chr16"
"127","ENSG00000006118","54972","TMEM132A","chr11"
"128","ENSG00000006125","163","AP2B1","chr17"
"129","ENSG00000006128","6863","TAC1","chr7"
"130","ENSG00000006194","10127","ZNF263","chr16"
"131","ENSG00000006210","6376","CX3CL1","chr16"
"132","ENSG00000006282","64847","SPATA20","chr17"
"133","ENSG00000006283","8913","CACNA1G","chr17"
"134","ENSG00000006327","51330","TNFRSF12A","chr16"
"135","ENSG00000006377","1750","DLX6","chr7"
"136","ENSG00000006432","4293","MAP3K9","chr14"
"137","ENSG00000006451","5898","RALA","chr7"
"138","ENSG00000006453","55971","BAIAP2L1","chr7"
"139","ENSG00000006459","80853","KDM7A","chr7"
"140","ENSG00000006468","2115","ETV1","chr7"
"141","ENSG00000006530","55750","AGK","chr7"
"142","ENSG00000006534","221","ALDH3B1","chr11"
"143","ENSG00000006555","55001","TTC22","chr1"
"144","ENSG00000006576","57157","PHTF2","chr7"
"145","ENSG00000006606","10344","CCL26","chr7"
"146","ENSG00000006607","9855","FARP2","chr2"
"147","ENSG00000006611","10083","USH1C","chr11"
"148","ENSG00000006625","79017","GGCT","chr7"
"149","ENSG00000006634","10926","DBF4","chr7"
"150","ENSG00000006638","6915","TBXA2R","chr19"
"151","ENSG00000006652","3475","IFRD1","chr7"
"152","ENSG00000006659","56891","LGALS14","chr19"
"153","ENSG00000006695","1352","COX10","chr17"
"154","ENSG00000006704","9569","GTF2IRD1","chr7"
"155","ENSG00000006712","54623","PAF1","chr19"
"156","ENSG00000006715","27072","VPS41","chr7"
"157","ENSG00000006740","9912","ARHGAP44","chr17"
"158","ENSG00000006744","60528","ELAC2","chr17"
"159","ENSG00000006747","85477","SCIN","chr7"
"160","ENSG00000006756","414","ARSD","chrX"
"161","ENSG00000006757","8228","PNPLA4","chrX"
"162","ENSG00000006788","8735","MYH13","chr17"
"163","ENSG00000006831","79602","ADIPOR2","chr12"
"164","ENSG00000006837","51265","CDKL3","chr5"
"165","ENSG00000007001","151531","UPP2","chr2"
"166","ENSG00000007038","10942","PRSS21","chr16"
"167","ENSG00000007047","57787","MARK4","chr19"
"168","ENSG00000007062","8842","PROM1","chr4"
"169","ENSG00000007080","115098","CCDC124","chr19"
"170","ENSG00000007129","90273","CEACAM21","chr19"
"171","ENSG00000007168","5048","PAFAH1B1","chr17"
"172","ENSG00000007171","4843","NOS2","chr17"
"173","ENSG00000007174","1770","DNAH9","chr17"
"174","ENSG00000007202","9703","BLTP2","chr17"
"175","ENSG00000007216","9058","SLC13A2","chr17"
"176","ENSG00000007237","8522","GAS7","chr17"
"177","ENSG00000007255","79090","TRAPPC6A","chr19"
"178","ENSG00000007264","4145","MATK","chr19"
"179","ENSG00000007306","1087","CEACAM7","chr19"
"180","ENSG00000007312","974","CD79B","chr17"
"181","ENSG00000007314","6329","SCN4A","chr17"
"182","ENSG00000007341","54879","ST7L","chr1"
"183","ENSG00000007350","8277","TKTL1","chrX"
"184","ENSG00000007372","5080","PAX6","chr11"
"185","ENSG00000007376","113000","RPUSD1","chr16"
"186","ENSG00000007384","64285","RHBDF1","chr16"
"187","ENSG00000007392","55692","LUC7L","chr16"
"188","ENSG00000007402","9254","CACNA2D2","chr3"
"189","ENSG00000007516","8938","BAIAP3","chr16"
"190","ENSG00000007520","115939","TSR3","chr16"
"191","ENSG00000007541","9091","PIGQ","chr16"
"192","ENSG00000007545","57585","CRAMP1","chr16"
"193","ENSG00000007866","7005","TEAD3","chr6"
"194","ENSG00000007908","6401","SELE","chr1"
"195","ENSG00000007923","55735","DNAJC11","chr1"
"196","ENSG00000007933","2328","FMO3","chr1"
"197","ENSG00000007944","29116","MYLIP","chr6"
"198","ENSG00000007952","27035","NOX1","chrX"
"199","ENSG00000007968","1870","E2F2","chr1"
"200","ENSG00000008018","5689","PSMB1","chr6"
"201","ENSG00000008056","6853","SYN1","chrX"
"202","ENSG00000008083","3720","JARID2","chr6"
"203","ENSG00000008086","6792","CDKL5","chrX"
"204","ENSG00000008118","57172","CAMK1G","chr1"
"205","ENSG00000008128","728642","CDK11A","chr1"
"206","ENSG00000008130","65220","NADK","chr1"
"207","ENSG00000008196","7021","TFAP2B","chr6"
"208","ENSG00000008197","83741","TFAP2D","chr6"
"209","ENSG00000008226","9940","DLEC1","chr3"
"210","ENSG00000008256","9265","CYTH3","chr7"
"211","ENSG00000008277","53616","ADAM22","chr7"
"212","ENSG00000008282","6856","SYPL1","chr7"
"213","ENSG00000008283","1534","CYB561","chr17"
"214","ENSG00000008294","9043","SPAG9","chr17"
"215","ENSG00000008300","1951","CELSR3","chr3"
"216","ENSG00000008311","10157","AASS","chr7"
"217","ENSG00000008323","55200","PLEKHG6","chr12"
"218","ENSG00000008324","51188","SS18L2","chr3"
"219","ENSG00000008382","84954","MPND","chr19"
"220","ENSG00000008394","4257","MGST1","chr12"
"221","ENSG00000008405","1407","CRY1","chr12"
"222","ENSG00000008438","8993","PGLYRP1","chr19"
"223","ENSG00000008441","4784","NFIX","chr19"
"224","ENSG00000008513","6482","ST3GAL1","chr8"
"225","ENSG00000008516","64386","MMP25","chr16"
"226","ENSG00000008517","9235","IL32","chr16"
"227","ENSG00000008710","5310","PKD1","chr16"
"228","ENSG00000008735","23542","MAPK8IP2","chr22"
"229","ENSG00000008838","9862","MED24","chr17"
"230","ENSG00000008853","23221","RHOBTB2","chr8"
"231","ENSG00000008869","54497","HEATR5B","chr2"
"232","ENSG00000008952","7095","SEC62","chr3"
"233","ENSG00000008988","6224","RPS20","chr8"
"234","ENSG00000009307","7812","CSDE1","chr1"
"235","ENSG00000009335","9690","UBE3C","chr7"
"236","ENSG00000009413","5980","REV3L","chr6"
"237","ENSG00000009694","10178","TENM1","chrX"
"238","ENSG00000009709","5081","PAX7","chr1"
"239","ENSG00000009724","10747","MASP2","chr1"
"240","ENSG00000009765","389434","IYD","chr6"
"241","ENSG00000009780","199870","FAM76A","chr1"
"242","ENSG00000009790","80342","TRAF3IP3","chr1"
"243","ENSG00000009830","29954","POMT2","chr14"
"244","ENSG00000009844","51534","VTA1","chr6"
"245","ENSG00000009950","51085","MLXIPL","chr7"
"246","ENSG00000009954","9031","BAZ1B","chr7"
"247","ENSG00000010017","10048","RANBP9","chr6"
"248","ENSG00000010030","51513","ETV7","chr6"
"249","ENSG00000010072","83932","SPRTN","chr1"
"250","ENSG00000010165","51603","METTL13","chr1"
"251","ENSG00000010219","8798","DYRK4","chr12"
"252","ENSG00000010244","7756","ZNF207","chr17"
"253","ENSG00000010256","7384","UQCRC1","chr3"
"254","ENSG00000010270","83930","STARD3NL","chr7"
"255","ENSG00000010278","928","CD9","chr12"
"256","ENSG00000010282","57467","HHATL","chr3"
"257","ENSG00000010292","9918","NCAPD2","chr12"
"258","ENSG00000010295","25900","IFFO1","chr12"
"259","ENSG00000010310","2696","GIPR","chr19"
"260","ENSG00000010318","51533","PHF7","chr3"
"261","ENSG00000010319","56920","SEMA3G","chr3"
"262","ENSG00000010322","11188","NISCH","chr3"
"263","ENSG00000010327","23166","STAB1","chr3"
"264","ENSG00000010361","80199","FUZ","chr19"
"265","ENSG00000010379","6540","SLC6A13","chr12"
"266","ENSG00000010404","3423","IDS","chrX"
"267","ENSG00000010438","5646","PRSS3","chr9"
"268","ENSG00000010539","7752","ZNF200","chr16"
"269","ENSG00000010610","920","CD4","chr12"
"270","ENSG00000010626","10233","LRRC23","chr12"
"271","ENSG00000010671","695","BTK","chrX"
"272","ENSG00000010704","3077","HFE","chr6"
"273","ENSG00000010803","22955","SCMH1","chr1"
"274","ENSG00000010810","2534","FYN","chr6"
"275","ENSG00000010818","3097","HIVEP2","chr6"
"276","ENSG00000010932","2326","FMO1","chr1"
"277","ENSG00000011007","6924","ELOA","chr1"
"278","ENSG00000011009","11313","LYPLA2","chr1"
"279","ENSG00000011021","1185","CLCN6","chr1"
"280","ENSG00000011028","9902","MRC2","chr17"
"281","ENSG00000011052","654364","NME1-NME2","chr17"
"282","ENSG00000011083","6534","SLC6A7","chr5"
"283","ENSG00000011105","10867","TSPAN9","chr12"
"284","ENSG00000011114","55727","BTBD7","chr14"
"285","ENSG00000011132","9546","APBA3","chr19"
"286","ENSG00000011143","54903","MKS1","chr17"
"287","ENSG00000011198","51099","ABHD5","chr3"
"288","ENSG00000011201","3730","ANOS1","chrX"
"289","ENSG00000011243","26993","AKAP8L","chr19"
"290","ENSG00000011258","54799","MBTD1","chr17"
"291","ENSG00000011260","51096","UTP18","chr17"
"292","ENSG00000011275","54476","RNF216","chr7"
"293","ENSG00000011295","54902","TTC19","chr17"
"294","ENSG00000011304","5725","PTBP1","chr19"
"295","ENSG00000011332","8193","DPF1","chr19"
"296","ENSG00000011347","9066","SYT7","chr11"
"297","ENSG00000011376","23395","LARS2","chr3"
"298","ENSG00000011405","5286","PIK3C2A","chr11"
"299","ENSG00000011422","5329","PLAUR","chr19"
"300","ENSG00000011426","54443","ANLN","chr7"
"301","ENSG00000011451","58525","WIZ","chr19"
"302","ENSG00000011454","23637","RABGAP1","chr9"
"303","ENSG00000011465","1634","DCN","chr12"
"304","ENSG00000011478","54814","QPCTL","chr19"
"305","ENSG00000011485","5536","PPP5C","chr19"
"306","ENSG00000011523","23177","CEP68","chr2"
"307","ENSG00000011566","8491","MAP4K3","chr2"
"308","ENSG00000011590","27033","ZBTB32","chr19"
"309","ENSG00000011600","7305","TYROBP","chr19"
"310","ENSG00000011638","57146","LDAF1","chr16"
"311","ENSG00000011677","2556","GABRA3","chrX"
"312","ENSG00000012048","672","BRCA1","chr17"
"313","ENSG00000012061","2067","ERCC1","chr19"
"314","ENSG00000012124","933","CD22","chr19"
"315","ENSG00000012171","7869","SEMA3B","chr3"
"316","ENSG00000012174","51360","MBTPS2","chrX"
"317","ENSG00000012211","4007","PRICKLE3","chrX"
"318","ENSG00000012223","4057","LTF","chr3"
"319","ENSG00000012232","2137","EXTL3","chr8"
"320","ENSG00000012504","9971","NR1H4","chr12"
"321","ENSG00000012660","60481","ELOVL5","chr6"
"322","ENSG00000012779","240","ALOX5","chr10"
"323","ENSG00000012817","8284","KDM5D","chrY"
"324","ENSG00000012822","57658","CALCOCO1","chr12"
"325","ENSG00000012963","55148","UBR7","chr14"
"326","ENSG00000012983","11183","MAP4K5","chr14"
"327","ENSG00000013016","30845","EHD3","chr2"
"328","ENSG00000013275","5704","PSMC4","chr19"
"329","ENSG00000013288","23324","MAN2B2","chr4"
"330","ENSG00000013293","57709","SLC7A14","chr3"
"331","ENSG00000013297","5010","CLDN11","chr3"
"332","ENSG00000013306","51629","SLC25A39","chr17"
"333","ENSG00000013364","9961","MVP","chr16"
"334","ENSG00000013374","51667","NUB1","chr7"
"335","ENSG00000013375","5238","PGM3","chr6"
"336","ENSG00000013392","112611","RWDD2A","chr6"
"337","ENSG00000013441","1195","CLK1","chr2"
"338","ENSG00000013503","55703","POLR3B","chr12"
"339","ENSG00000013523","23357","ANGEL1","chr14"
"340","ENSG00000013561","9604","RNF14","chr5"
"341","ENSG00000013563","1774","DNASE1L1","chrX"
"342","ENSG00000013573","1663","DDX11","chr12"
"343","ENSG00000013583","50865","HEBP1","chr12"
"344","ENSG00000013588","9052","GPRC5A","chr12"
"345","ENSG00000013619","10046","MAMLD1","chrX"
"346","ENSG00000013725","923","CD6","chr11"
"347","ENSG00000013810","10460","TACC3","chr4"
"348","ENSG00000014123","23376","UFL1","chr6"
"349","ENSG00000014138","23649","POLA2","chr11"
"350","ENSG00000014164","23144","ZC3H3","chr8"
"351","ENSG00000014216","823","CAPN1","chr11"
"352","ENSG00000014257","55","ACP3","chr3"
"353","ENSG00000014641","4190","MDH1","chr2"
"354","ENSG00000014824","10463","SLC30A9","chr4"
"355","ENSG00000014914","10903","MTMR11","chr1"
"356","ENSG00000014919","1355","COX15","chr10"
"357","ENSG00000015133","440193","CCDC88C","chr14"
"358","ENSG00000015153","10138","YAF2","chr12"
"359","ENSG00000015171","10771","ZMYND11","chr10"
"360","ENSG00000015285","7454","WAS","chrX"
"361","ENSG00000015413","1800","DPEP1","chr16"
"362","ENSG00000015475","637","BID","chr22"
"363","ENSG00000015479","9782","MATR3","chr5"
"364","ENSG00000015520","29881","NPC1L1","chr7"
"365","ENSG00000015532","64132","XYLT2","chr17"
"366","ENSG00000015568","84220","RGPD5","chr2"
"367","ENSG00000015592","81551","STMN4","chr8"
"368","ENSG00000015676","23386","NUDCD3","chr7"
"369","ENSG00000016082","3670","ISL1","chr5"
"370","ENSG00000016391","55349","CHDH","chr3"
"371","ENSG00000016402","53832","IL20RA","chr6"
"372","ENSG00000016490","1179","CLCA1","chr1"
"373","ENSG00000016602","22802","CLCA4","chr1"
"374","ENSG00000016864","55830","GLT8D1","chr3"
"375","ENSG00000017260","27032","ATP2C1","chr3"
"376","ENSG00000017427","3479","IGF1","chr12"
"377","ENSG00000017483","92745","SLC38A5","chrX"
"378","ENSG00000017797","10928","RALBP1","chr18"
"379","ENSG00000018189","22902","RUFY3","chr4"
"380","ENSG00000018236","1272","CNTN1","chr12"
"381","ENSG00000018280","6556","SLC11A1","chr2"
"382","ENSG00000018408","25937","WWTR1","chr3"
"383","ENSG00000018510","8540","AGPS","chr2"
"385","ENSG00000018610","63932","STEEP1","chrX"
"386","ENSG00000018625","477","ATP1A2","chr1"
"387","ENSG00000018699","55622","TTC27","chr2"
"388","ENSG00000018869","147948","ZNF582","chr19"
"389","ENSG00000019102","23584","VSIG2","chr11"
"390","ENSG00000019144","23187","PHLDB1","chr11"
"391","ENSG00000019169","8685","MARCO","chr2"
"392","ENSG00000019186","1591","CYP24A1","chr20"
"393","ENSG00000019485","56981","PRDM11","chr11"
"394","ENSG00000019505","57586","SYT13","chr11"
"395","ENSG00000019549","6591","SNAI2","chr8"
"396","ENSG00000019582","972","CD74","chr5"
"397","ENSG00000019991","3082","HGF","chr7"
"398","ENSG00000019995","54764","ZRANB1","chr10"
"399","ENSG00000020129","23154","NCDN","chr1"
"400","ENSG00000020181","25960","ADGRA2","chr8"
"401","ENSG00000020219","155100","CCT8L1P",NA
"402","ENSG00000020256","55734","ZFP64","chr20"
"403","ENSG00000020426","4331","MNAT1","chr14"
"404","ENSG00000020577","23034","SAMD4A","chr14"
"405","ENSG00000020633","864","RUNX3","chr1"
"406","ENSG00000020922","4361","MRE11","chr11"
"407","ENSG00000021300","58473","PLEKHB1","chr11"
"408","ENSG00000021355","1992","SERPINB1","chr6"
"409","ENSG00000021461","64816","CYP3A43","chr7"
"410","ENSG00000021488","11136","SLC7A9","chr19"
"411","ENSG00000021574","6683","SPAST","chr2"
"412","ENSG00000021645","9369","NRXN3","chr14"
"413","ENSG00000021762","114879","OSBPL5","chr11"
"414","ENSG00000021776","9716","AQR","chr15"
"415","ENSG00000021826","1373","CPS1","chr2"
"416","ENSG00000021852","732","C8B","chr1"
"417","ENSG00000022267","2273","FHL1","chrX"
"418","ENSG00000022277","51507","RTF2","chr20"
"419","ENSG00000022355","2554","GABRA1","chr5"
"420","ENSG00000022556","55655","NLRP2","chr19"
"421","ENSG00000022567","57210","SLC45A4","chr8"
"422","ENSG00000022840","9921","RNF10","chr12"
"423","ENSG00000022976","55778","ZNF839","chr14"
"424","ENSG00000023041","64429","ZDHHC6","chr10"
"425","ENSG00000023171","57476","GRAMD1B","chr11"
"426","ENSG00000023191","6050","RNH1","chr11"
"427","ENSG00000023228","4719","NDUFS1","chr2"
"428","ENSG00000023287","9821","RB1CC1","chr8"
"429","ENSG00000023318","23071","ERP44","chr9"
"430","ENSG00000023330","211","ALAS1","chr3"
"431","ENSG00000023445","330","BIRC3","chr11"
"432","ENSG00000023516","11215","AKAP11","chr13"
"433","ENSG00000023572","51022","GLRX2","chr1"
"434","ENSG00000023608","6617","SNAPC1","chr14"
"435","ENSG00000023697","51071","DERA","chr12"
"436","ENSG00000023734","11171","STRAP","chr12"
"437","ENSG00000023839","1244","ABCC2","chr10"
"438","ENSG00000023892","50619","DEF6","chr6"
"439","ENSG00000023902","51177","PLEKHO1","chr1"
"440","ENSG00000023909","2730","GCLM","chr1"
"441","ENSG00000024048","23304","UBR2","chr6"
"442","ENSG00000024422","30846","EHD2","chr19"
"443","ENSG00000024526","55635","DEPDC1","chr1"
"444","ENSG00000024862","25901","CCDC28A","chr6"
"445","ENSG00000025039","58528","RRAGD","chr6"
"446","ENSG00000025156","3298","HSF2","chr6"
"447","ENSG00000025293","51230","PHF20","chr20"
"448","ENSG00000025423","8630","HSD17B6","chr12"
"449","ENSG00000025434","10062","NR1H3","chr11"
"450","ENSG00000025708","1890","TYMP","chr22"
"451","ENSG00000025770","29781","NCAPH2","chr22"
"452","ENSG00000025772","10953","TOMM34","chr20"
"453","ENSG00000025796","11231","SEC63","chr6"
"454","ENSG00000025800","23633","KPNA6","chr1"
"455","ENSG00000026025","7431","VIM","chr10"
"456","ENSG00000026036","100533107","RTEL1-TNFRSF6B","chr20"
"457","ENSG00000026103","355","FAS","chr10"
"458","ENSG00000026297","8635","RNASET2","chr6"
"459","ENSG00000026508","960","CD44","chr11"
"460","ENSG00000026559","3755","KCNG1","chr20"
"461","ENSG00000026652","56895","AGPAT4","chr6"
"462","ENSG00000026751","57823","SLAMF7","chr1"
"463","ENSG00000026950","11119","BTN3A1","chr6"
"464","ENSG00000027001","4285","MIPEP","chr13"
"465","ENSG00000027075","5583","PRKCH","chr14"
"466","ENSG00000027644","3645","INSRR","chr1"
"467","ENSG00000027697","3459","IFNGR1","chr6"
"468","ENSG00000027847","11285","B4GALT7","chr5"
"469","ENSG00000027869","9047","SH2D2A","chr1"
"470","ENSG00000028116","7444","VRK2","chr2"
"471","ENSG00000028137","7133","TNFRSF1B","chr1"
"472","ENSG00000028203","55591","VEZT","chr12"
"473","ENSG00000028277","5452","POU2F2","chr19"
"474","ENSG00000028310","65980","BRD9","chr5"
"475","ENSG00000028528","6642","SNX1","chr15"
"476","ENSG00000028839","9519","TBPL1","chr6"
"477","ENSG00000029153","56938","BMAL2","chr12"
"478","ENSG00000029363","9774","BCLAF1","chr6"
"479","ENSG00000029364","55334","SLC39A9","chr14"
"480","ENSG00000029534","286","ANK1","chr8"
"481","ENSG00000029559","3381","IBSP","chr4"
"482","ENSG00000029639","51106","TFB1M","chr6"
"483","ENSG00000029725","9135","RABEP1","chr17"
"484","ENSG00000029993","3149","HMGB3","chrX"
"485","ENSG00000030066","23279","NUP160","chr11"
"486","ENSG00000030110","578","BAK1","chr6"
"487","ENSG00000030304","4593","MUSK","chr9"
"488","ENSG00000030419","22807","IKZF2","chr2"
"489","ENSG00000030582","2896","GRN","chr17"
"490","ENSG00000031003","51306","FAM13B","chr5"
"491","ENSG00000031081","57514","ARHGAP31","chr3"
"492","ENSG00000031691","55166","CENPQ","chr6"
"493","ENSG00000031698","6301","SARS1","chr1"
"494","ENSG00000031823","8498","RANBP3","chr19"
"495","ENSG00000032219","5926","ARID4A","chr14"
"496","ENSG00000032389","7260","EIPR1","chr2"
"497","ENSG00000032444","10908","PNPLA6","chr19"
"498","ENSG00000032742","8100","IFT88","chr13"
"499","ENSG00000033011","56052","ALG1","chr16"
"500","ENSG00000033030","55596","ZCCHC8","chr12"
"501","ENSG00000033050","10061","ABCF2","chr7"
"502","ENSG00000033100","54480","CHPF2","chr7"
"503","ENSG00000033122","57554","LRRC7","chr1"
"504","ENSG00000033170","2530","FUT8","chr14"
"505","ENSG00000033178","55236","UBA6","chr4"
"506","ENSG00000033327","9846","GAB2","chr11"
"507","ENSG00000033627","535","ATP6V0A1","chr17"
"508","ENSG00000033800","8554","PIAS1","chr15"
"509","ENSG00000033867","9497","SLC4A7","chr3"
"510","ENSG00000034053","321","APBA2","chr15"
"511","ENSG00000034152","5606","MAP2K3","chr17"
"512","ENSG00000034239","79645","CLXN","chr8"
"513","ENSG00000034510","9168","TMSB10","chr2"
"514","ENSG00000034533","28990","ASTE1","chr3"
"515","ENSG00000034677","25897","RNF19A","chr8"
"516","ENSG00000034693","8504","PEX3","chr6"
"517","ENSG00000034713","11345","GABARAPL2","chr16"
"518","ENSG00000034971","4653","MYOC","chr1"
"519","ENSG00000035115","26751","SH3YL1","chr2"
"520","ENSG00000035141","84908","FAM136A","chr2"
"521","ENSG00000035403","7414","VCL","chr10"
"522","ENSG00000035499","55789","DEPDC1B","chr5"
"523","ENSG00000035664","23604","DAPK2","chr15"
"524","ENSG00000035681","8439","NSMAF","chr8"
"525","ENSG00000035687","159","ADSS2","chr1"
"526","ENSG00000035720","26228","STAP1","chr4"
"527","ENSG00000035862","7077","TIMP2","chr17"
"528","ENSG00000035928","5981","RFC1","chr4"
"529","ENSG00000036054","55773","TBC1D23","chr3"
"530","ENSG00000036257","8452","CUL3","chr2"
"531","ENSG00000036448","9172","MYOM2","chr8"
"532","ENSG00000036473","5009","OTC","chrX"
"533","ENSG00000036530","10858","CYP46A1","chr14"
"534","ENSG00000036549","26009","ZZZ3","chr1"
"535","ENSG00000036565","6570","SLC18A1","chr8"
"536","ENSG00000036672","9099","USP2","chr11"
"537","ENSG00000036828","846","CASR","chr3"
"538","ENSG00000037042","27175","TUBG2","chr17"
"539","ENSG00000037241","51121","RPL26L1","chr5"
"540","ENSG00000037280","2324","FLT4","chr5"
"541","ENSG00000037474","54888","NSUN2","chr5"
"542","ENSG00000037637","54455","FBXO42","chr1"
"543","ENSG00000037749","4238","MFAP3","chr5"
